station_id,num_bikes_available,numBikesAvailable,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode,YEAR,MONTH,DAY,DAY OF WEEK,DAY OF YEAR,HOUR,MIN
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,13
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,12,12,23,23,1,1,1,1734287772,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,10,10,25,25,1,1,1,1734283935,16107,24,12,15,7,350,20,2
213688169,11,11,24,24,1,1,1,1734283935,16107,24,12,15,7,350,20,2
